"country","province","points","price","variety"
"US","California",90,100,"Zinfandel"
"US","California",90,50,"Cabernet Sauvignon"
"Spain","Northern Spain",90,22,"Tempranillo"
"Italy","Sicily & Sardinia",90,45,"White Blend"
"US","California",90,45,"Chardonnay"
"US","California",90,16,"Chardonnay"
"US","California",90,30,"Cabernet Sauvignon"
"US","California",90,38,"Zinfandel"
"Spain","Northern Spain",90,17,"Tempranillo"
"France","Languedoc-Roussillon",90,18,"Rosé"
"France","Bordeaux",90,15,"Rosé"
"US","California",90,28,"Sauvignon Blanc"
"US","Oregon",90,26,"Chardonnay"
"US","California",90,55,"Pinot Noir"
"US","California",90,36,"Zinfandel"
"US","California",90,40,"Syrah"
"US","Oregon",89,50,"Pinot Noir"
"Greece","Atalanti Valley",89,24,"White Blend"
"France","Southwest France",89,20,"Bordeaux-style Red Blend"
"US","Oregon",89,24,"Sangiovese"
"Spain","Northern Spain",89,44,"Tempranillo"
"Chile","Colchagua Valley",89,19,"Red Blend"
"US","California",89,42,"Bordeaux-style Red Blend"
"US","Oregon",89,35,"Pinot Noir"
"US","California",89,16,"Syrah"
"US","Oregon",89,36,"Pinot Noir"
"Italy","Tuscany",89,25,"Red Blend"
"Italy","Tuscany",89,22,"Red Blend"
"US","California",89,25,"Chardonnay"
"US","California",89,42,"Pinot Noir"
"US","California",89,49,"Pinot Noir"
"Italy","Tuscany",89,40,"Sangiovese"
"Italy","Tuscany",89,57,"Red Blend"
"US","California",89,29,"Cabernet Sauvignon"
"Chile","Maule Valley",89,61,"Red Blend"
"US","California",88,25,"Chardonnay"
"US","California",88,25,"Syrah"
"US","California",88,49,"Pinot Noir"
"Argentina","Mendoza Province",88,26,"Bordeaux-style Red Blend"
"US","Washington",88,34,"Bordeaux-style Red Blend"
"US","California",88,38,"Zinfandel"
"US","California",88,38,"Zinfandel"
"Spain","Catalonia",87,22,"Red Blend"
"Argentina","Mendoza Province",87,15,"Malbec"
"France","Bordeaux",87,20,"Bordeaux-style Red Blend"
"France","Bordeaux",87,25,"Bordeaux-style Red Blend"
"France","Bordeaux",87,20,"Bordeaux-style Red Blend"
"France","Bordeaux",87,20,"Bordeaux-style Red Blend"
"France","Bordeaux",87,25,"Bordeaux-style Red Blend"
"US","California",87,10,"Chardonnay"
"US","Washington",87,18,"Malbec"
"US","New York",87,18,"Chardonnay"
"US","New York",87,14,"Riesling"
"US","New York",87,14,"Riesling"
"France","Bordeaux",87,18,"Bordeaux-style Red Blend"
"France","Bordeaux",87,20,"Bordeaux-style Red Blend"
"US","Washington",87,11,"Merlot"
"US","Washington",87,36,"Cabernet Sauvignon"
"US","California",93,50,"Zinfandel"
"France","Alsace",93,39,"Riesling"
"France","Alsace",93,65,"Riesling"
"France","Alsace",93,42,"Riesling"
"France","Alsace",93,61,"Riesling"
"France","Alsace",93,48,"Riesling"
"US","California",93,50,"Zinfandel"
"US","California",93,50,"Syrah"
"US","Washington",93,80,"Cabernet Sauvignon"
"US","California",93,40,"Syrah"
"US","Washington",93,48,"Cabernet Sauvignon"
"US","California",93,200,"Cabernet Sauvignon"
"US","Washington",93,62,"Cabernet Sauvignon"
"France","Alsace",92,35,"Riesling"
"France","Alsace",92,48,"Riesling"
"France","Alsace",92,55,"Riesling"
"France","Bordeaux",88,16,"Bordeaux-style Red Blend"
"France","Bordeaux",88,15,"Bordeaux-style Red Blend"
"US","California",88,28,"Chardonnay"
"US","Oregon",88,36,"Pinot Noir"
"US","California",88,24,"Chardonnay"
"US","California",88,25,"Merlot"
"US","Oregon",88,60,"Pinot Noir"
"US","California",88,54,"Pinot Noir"
"US","California",88,20,"Sauvignon Blanc"
"US","California",88,61,"Pinot Noir"
"Spain","Northern Spain",88,30,"Tempranillo"
"US","California",88,39,"Red Blend"
"France","Loire Valley",88,23,"Sauvignon Blanc"
"US","California",88,18,"Chardonnay"
"Argentina","Mendoza Province",88,15,"Cabernet Sauvignon"
"France","Burgundy",92,92,"Pinot Noir"
"France","Burgundy",92,94,"Chardonnay"
"US","California",92,58,"Chardonnay"
"US","California",92,32,"Pinot Noir"
"US","California",92,43,"Pinot Noir"
"France","Bordeaux",92,30,"Bordeaux-style Red Blend"
"US","California",92,100,"Cabernet Sauvignon"
"US","California",92,35,"Syrah"
"France","Burgundy",91,60,"Chardonnay"
"France","Southwest France",91,16,"Bordeaux-style Red Blend"
"France","Burgundy",91,40,"Chardonnay"
"US","Oregon",91,60,"Pinot Noir"
"France","Burgundy",91,100,"Pinot Noir"
"US","California",91,42,"Syrah"
"US","California",91,20,"Pinot Noir"
"US","California",91,38,"Pinot Noir"
"US","California",91,32,"Zinfandel"
"US","Washington",94,60,"Syrah"
"US","California",94,30,"Riesling"
"Italy","Veneto",94,85,"Red Blend"
"US","California",94,30,"Riesling"
"US","California",94,65,"Pinot Noir"
"New Zealand","Kumeu",94,57,"Chardonnay"
"US","Oregon",94,90,"Pinot Noir"
"US","California",94,85,"Pinot Noir"
"US","California",94,70,"Pinot Noir"
"US","Oregon",94,70,"Pinot Noir"
"US","California",94,60,"Pinot Noir"
"US","California",94,155,"Cabernet Sauvignon"
"US","Oregon",94,48,"Pinot Noir"
"US","California",94,95,"Cabernet Sauvignon"
"US","Oregon",94,49,"Pinot Noir"
"US","Washington",94,50,"Syrah"
"France","Provence",94,20,"Rosé"
"US","California",94,95,"Cabernet Sauvignon"
"Argentina","Mendoza Province",94,50,"Cabernet Sauvignon"
"France","Provence",94,100,"Rosé"
"France","Southwest France",94,70,"Malbec"
"US","Oregon",94,63,"Chardonnay"
"Germany","Mosel",91,23,"Riesling"
"US","California",91,50,"Cabernet Sauvignon"
"US","California",91,45,"Sauvignon Blanc"
"US","Oregon",91,30,"Pinot Noir"
"US","California",91,22,"Syrah"
"US","California",91,60,"Cabernet Sauvignon"
"US","California",91,55,"Pinot Noir"
"US","California",91,48,"Chardonnay"
"US","California",91,40,"Chardonnay"
"US","California",91,50,"Chardonnay"
"US","Oregon",91,48,"Pinot Noir"
"France","Champagne",91,54,"Chardonnay"
"Israel","Golan Heights",91,40,"Cabernet Sauvignon"
"US","California",91,40,"Chardonnay"
"US","Oregon",91,42,"Pinot Noir"
"Spain","Northern Spain",91,32,"Tempranillo"
"US","California",90,41,"Red Blend"
"France","Alsace",90,33,"Pinot Noir"
"France","Burgundy",90,70,"Pinot Noir"
"US","Oregon",90,19,"Pinot Noir"
"US","Oregon",90,45,"Pinot Noir"
"France","Burgundy",90,80,"Pinot Noir"
"Germany","Mosel",90,31,"Riesling"
"US","California",90,15,"Cabernet Sauvignon"
"US","California",90,15,"Cabernet Sauvignon"
"US","California",90,24,"Merlot"
"US","California",90,80,"Red Blend"
"Spain","Northern Spain",90,35,"Tempranillo"
"Spain","Central Spain",90,28,"Tempranillo"
"US","California",90,50,"Cabernet Sauvignon"
"US","California",90,28,"Cabernet Sauvignon"
"US","California",90,40,"Cabernet Sauvignon"
"US","California",90,50,"Chardonnay"
"US","California",90,75,"Cabernet Sauvignon"
"Italy","Tuscany",90,60,"Sangiovese"
"US","Washington",90,46,"Malbec"
"Italy","Tuscany",90,60,"Sangiovese"
"Italy","Tuscany",90,75,"Sangiovese"
"Italy","Tuscany",90,95,"Sangiovese"
"Italy","Tuscany",90,60,"Sangiovese"
"Italy","Tuscany",90,70,"Sangiovese"
"US","California",90,20,"White Blend"
"US","California",90,75,"Cabernet Sauvignon"
"US","California",90,28,"Sauvignon Blanc"
"US","California",90,60,"Chardonnay"
"US","California",90,22,"Chardonnay"
"Spain","Spain Other",90,49,"White Blend"
"Italy","Tuscany",90,90,"Sangiovese"
"US","California",90,30,"Chardonnay"
"US","California",90,35,"Cabernet Sauvignon"
"US","California",90,22,"Tempranillo"
"Italy","Tuscany",90,30,"Sangiovese"
"Italy","Tuscany",90,32,"Red Blend"
"Italy","Tuscany",90,35,"Sangiovese"
"US","Washington",87,36,"Cabernet Sauvignon"
"US","California",87,30,"Zinfandel"
"Spain","Northern Spain",87,27,"Tempranillo"
"US","Washington",87,20,"Sauvignon Blanc"
"US","California",87,30,"Chardonnay"
"US","California",87,20,"Cabernet Sauvignon"
"US","Idaho",87,23,"Cabernet Sauvignon"
"Italy","Tuscany",87,75,"Sangiovese"
"Italy","Tuscany",87,98,"Sangiovese"
"US","California",87,20,"Cabernet Sauvignon"
"US","Idaho",87,22,"Chardonnay"
"US","Idaho",87,16,"White Blend"
"Italy","Tuscany",87,17,"Red Blend"
"US","Idaho",87,17,"Riesling"
"Spain","Northern Spain",87,15,"Tempranillo"
"US","Idaho",87,38,"Tempranillo"
"Spain","Catalonia",87,28,"Red Blend"
"Italy","Tuscany",87,52,"Sangiovese"
"Italy","Tuscany",87,58,"Sangiovese"
"Italy","Tuscany",87,60,"Sangiovese"
"Portugal","Douro",86,15,"Rosé"
"Italy","Veneto",86,15,"White Blend"
"US","California",86,26,"Chardonnay"
"US","California",86,32,"Syrah"
"Argentina","Other",86,10,"Sauvignon Blanc"
"US","Washington",86,35,"Rosé"
"Argentina","Mendoza Province",86,23,"Malbec"
"South Africa","Walker Bay",86,20,"Sauvignon Blanc"
"US","California",86,31,"Cabernet Sauvignon"
"US","Washington",86,12,"Merlot"
"US","California",86,18,"Pinot Noir"
"France","Southwest France",86,10,"White Blend"
"Argentina","Mendoza Province",86,15,"Malbec"
"US","California",86,24,"Chardonnay"
"US","California",86,14,"Sauvignon Blanc"
"US","California",86,12,"Pinot Noir"
"US","California",86,32,"Red Blend"
"US","California",89,49,"Pinot Noir"
"Italy","Tuscany",89,43,"Sangiovese"
"France","Southwest France",89,19,"Red Blend"
"France","Southwest France",89,28,"White Blend"
"Germany","Mosel",89,26,"Riesling"
"US","Oregon",89,35,"Chardonnay"
"US","California",89,30,"Bordeaux-style Red Blend"
"Italy","Tuscany",89,55,"Cabernet Sauvignon"
"US","Oregon",89,46,"Pinot Noir"
"US","Oregon",89,50,"Pinot Noir"
"US","California",89,43,"Red Blend"
"Portugal","Duriense",89,45,"Syrah"
"US","California",89,39,"Syrah"
"Italy","Tuscany",89,30,"Red Blend"
"Italy","Tuscany",89,45,"Cabernet Sauvignon"
"Spain","Catalonia",89,23,"Red Blend"
"US","California",89,65,"Zinfandel"
"Chile","Colchagua Valley",89,19,"Red Blend"
"US","Oregon",89,35,"Syrah"
"US","California",89,60,"Zinfandel"
"US","Oregon",89,44,"Pinot Noir"
"Italy","Tuscany",89,30,"Red Blend"
"Spain","Northern Spain",89,12,"Tempranillo"
"US","California",92,30,"Chardonnay"
"US","California",92,45,"Zinfandel"
"US","California",92,125,"Bordeaux-style Red Blend"
"US","California",92,98,"Cabernet Sauvignon"
"US","California",92,40,"Red Blend"
"US","California",92,60,"Chardonnay"
"US","California",92,68,"Chardonnay"
"US","Washington",92,32,"Chardonnay"
"US","California",92,45,"Syrah"
"US","Washington",92,66,"Chardonnay"
"France","Alsace",92,29,"Riesling"
"France","Alsace",92,63,"Riesling"
"US","California",92,32,"Chardonnay"
"US","California",92,55,"Chardonnay"
"France","Bordeaux",92,18,"Bordeaux-style Red Blend"
"US","California",92,32,"Chardonnay"
"Chile","Colchagua Valley",92,30,"Bordeaux-style Red Blend"
"US","California",92,44,"Chardonnay"
"US","California",90,20,"Zinfandel"
"Germany","Mosel",90,22,"Riesling"
"France","Burgundy",90,50,"Pinot Noir"
"France","Burgundy",90,45,"Pinot Noir"
"US","California",90,23,"Pinot Noir"
"US","California",90,49,"Pinot Noir"
"Germany","Mosel",90,17,"Riesling"
"France","Burgundy",90,59,"Chardonnay"
"France","Alsace",90,20,"White Blend"
"US","California",90,42,"Zinfandel"
"US","Oregon",90,48,"Pinot Noir"
"US","California",90,30,"Chardonnay"
"US","California",90,40,"Cabernet Sauvignon"
"Spain","Northern Spain",90,20,"Tempranillo"
"US","California",90,22,"Merlot"
"Germany","Mosel",90,31,"Riesling"
"US","California",90,15,"Cabernet Sauvignon"
"US","California",90,15,"Cabernet Sauvignon"
"US","California",94,62,"Pinot Noir"
"US","Oregon",94,49,"Pinot Noir"
"France","Southwest France",94,25,"Red Blend"
"US","California",94,95,"Cabernet Sauvignon"
"US","California",94,55,"Chardonnay"
"US","California",94,48,"Chardonnay"
"US","California",94,68,"Pinot Noir"
"US","Oregon",94,90,"Pinot Noir"
"US","California",93,60,"Pinot Noir"
"US","Washington",93,125,"Bordeaux-style Red Blend"
"US","California",93,85,"Cabernet Sauvignon"
"US","California",93,60,"Pinot Noir"
"Spain","Northern Spain",93,64,"Tempranillo"
"US","California",93,55,"Syrah"
"US","California",93,58,"Chardonnay"
"US","Oregon",93,48,"Pinot Noir"
"US","California",93,40,"Zinfandel"
"US","California",93,60,"Chardonnay"
"US","California",93,120,"Cabernet Sauvignon"
"US","California",93,100,"Cabernet Sauvignon"
"US","California",93,34,"Zinfandel"
"Spain","Northern Spain",93,91,"Red Blend"
"US","California",91,40,"Zinfandel"
"US","Oregon",91,20,"Chardonnay"
"US","California",91,55,"Cabernet Sauvignon"
"US","California",91,45,"Pinot Noir"
"Germany","Rheingau",91,36,"Riesling"
"Germany","Mosel",91,23,"Riesling"
"Germany","Rheingau",91,25,"Riesling"
"Germany","Mosel",91,28,"Riesling"
"Italy","Northeastern Italy",91,41,"White Blend"
"US","California",91,28,"Chardonnay"
"US","California",91,38,"Chardonnay"
"US","California",91,44,"Red Blend"
"US","California",91,45,"Pinot Noir"
"Germany","Mosel",91,25,"Riesling"
"Germany","Mosel",91,38,"Riesling"
"Germany","Mosel",91,22,"Riesling"
"Germany","Mosel",91,26,"Riesling"
"Germany","Mosel",91,23,"Riesling"
"Germany","Mosel",91,23,"Riesling"
"US","California",91,50,"Sauvignon Blanc"
"France","Bordeaux",91,25,"Bordeaux-style Red Blend"
"France","Burgundy",91,60,"Chardonnay"
"US","California",90,38,"Cabernet Sauvignon"
"Australia","South Australia",90,20,"Pinot Noir"
"US","California",90,64,"Bordeaux-style Red Blend"
"US","California",90,40,"Pinot Noir"
"France","Southwest France",90,25,"Malbec"
"France","Southwest France",90,13,"Red Blend"
"France","Burgundy",90,45,"Chardonnay"
"Germany","Mosel",90,30,"Riesling"
"US","California",90,111,"Cabernet Sauvignon"
"US","Oregon",90,32,"Tempranillo"
"US","Oregon",90,57,"Pinot Noir"
"US","Oregon",90,24,"Chardonnay"
"Australia","Victoria",88,42,"Pinot Noir"
"France","Loire Valley",88,27,"Sauvignon Blanc"
"Argentina","Mendoza Province",88,25,"Malbec"
"France","Loire Valley",88,35,"Sauvignon Blanc"
"France","Bordeaux",88,26,"Bordeaux-style Red Blend"
"US","California",88,39,"Chardonnay"
"France","Loire Valley",88,25,"Sauvignon Blanc"
"US","California",88,55,"Pinot Noir"
"France","Loire Valley",88,28,"Sauvignon Blanc"
"US","California",88,25,"Pinot Noir"
"US","Oregon",88,48,"Pinot Noir"
"US","California",88,18,"Chardonnay"
"US","California",88,18,"Merlot"
"US","Oregon",88,65,"Pinot Noir"
"US","California",88,25,"Chardonnay"
"US","California",88,48,"Pinot Noir"
"France","Loire Valley",88,20,"Pinot Noir"
"Spain","Central Spain",88,11,"Tempranillo"
"US","California",90,55,"Cabernet Sauvignon"
"US","California",90,46,"Chardonnay"
"US","California",90,55,"Pinot Noir"
"US","California",90,30,"Pinot Noir"
"US","New York",90,27,"Pinot Noir"
"US","Washington",90,28,"Syrah"
"Italy","Tuscany",90,62,"Sangiovese"
"US","California",90,48,"Chardonnay"
"Italy","Tuscany",90,80,"Sangiovese"
"US","California",90,36,"Sauvignon Blanc"
"US","California",90,48,"Red Blend"
"US","California",90,60,"Chardonnay"
"US","California",90,45,"Sangiovese"
"US","California",90,39,"Zinfandel"
"US","California",90,25,"Sauvignon Blanc"
"US","Washington",90,40,"Bordeaux-style Red Blend"
"Italy","Tuscany",90,60,"Sangiovese"
"US","California",90,85,"Cabernet Sauvignon"
"Italy","Tuscany",90,25,"Red Blend"
"US","California",90,15,"Tempranillo"
"France","Rhône Valley",90,24,"Rosé"
"US","California",86,18,"Red Blend"
"South Africa","Stellenbosch",86,35,"Sauvignon Blanc"
"South Africa","Western Cape",86,11,"Sauvignon Blanc"
"US","California",85,15,"Red Blend"
"France","Southwest France",85,9,"Rosé"
"France","Southwest France",85,16,"Red Blend"
"US","California",85,15,"Cabernet Sauvignon"
"France","Southwest France",85,12,"Rosé"
"France","Southwest France",85,14,"Malbec"
"South Africa","Western Cape",85,10,"Sauvignon Blanc"
"US","California",85,12,"Cabernet Sauvignon"
"US","California",85,18,"Merlot"
"Argentina","Mendoza Province",85,14,"Malbec"
"Argentina","Mendoza Province",85,13,"White Blend"
"South Africa","Overberg",85,20,"Chardonnay"
"Argentina","Mendoza Province",85,30,"Bordeaux-style Red Blend"
"Spain","Northern Spain",85,50,"Red Blend"
"South Africa","Robertson",85,16,"Sauvignon Blanc"
"US","California",85,65,"Cabernet Sauvignon"
"Israel","Galilee",85,30,"Chardonnay"
"Spain","Catalonia",89,26,"Red Blend"
"US","California",89,20,"Chardonnay"
"US","California",89,25,"Riesling"
"US","California",89,36,"Chardonnay"
"US","California",89,36,"Tempranillo"
"Italy","Tuscany",89,23,"Red Blend"
"Italy","Tuscany",89,28,"Red Blend"
"Chile","Maipo Valley",89,20,"Cabernet Sauvignon"
"US","Oregon",89,45,"Pinot Noir"
"Chile","Casablanca Valley",89,20,"Pinot Noir"
"Italy","Tuscany",89,45,"Red Blend"
"Chile","Cachapoal Valley",89,20,"Syrah"
"US","Oregon",89,28,"Pinot Noir"
"US","California",89,42,"Syrah"
"Chile","Colchagua Valley",89,25,"Cabernet Sauvignon"
"US","Oregon",89,14,"Riesling"
"US","Oregon",89,18,"Rosé"
"US","California",89,39,"Red Blend"
"Italy","Tuscany",89,90,"Red Blend"
"Chile","Leyda Valley",89,17,"Sauvignon Blanc"
"France","Southwest France",89,20,"White Blend"
"Italy","Tuscany",87,50,"Sangiovese"
"Italy","Tuscany",87,87,"Sangiovese"
"US","Washington",87,28,"Cabernet Sauvignon"
"US","Washington",87,36,"Bordeaux-style Red Blend"
"France","Bordeaux",87,35,"Bordeaux-style Red Blend"
"France","Bordeaux",87,30,"Bordeaux-style Red Blend"
"US","California",87,28,"Bordeaux-style Red Blend"
"Italy","Tuscany",87,20,"Red Blend"
"US","California",87,32,"Red Blend"
"US","Washington",87,28,"Merlot"
"US","Washington",87,26,"Syrah"
"US","California",87,32,"Sauvignon Blanc"
"US","California",87,11,"Cabernet Sauvignon"
"US","California",87,19,"Syrah"
"US","Idaho",87,22,"Red Blend"
"US","Washington",87,28,"Bordeaux-style Red Blend"
"US","California",87,20,"Zinfandel"
"US","California",87,25,"Red Blend"
"US","New York",87,16,"Chardonnay"
"US","California",87,25,"Cabernet Sauvignon"
"France","Bordeaux",87,10,"Bordeaux-style Red Blend"
"US","Oregon",90,48,"Pinot Noir"
"US","California",90,30,"Chardonnay"
"France","Burgundy",90,59,"Chardonnay"
"France","Alsace",90,20,"White Blend"
"US","California",90,70,"Cabernet Sauvignon"
"US","California",90,25,"Riesling"
"US","California",90,42,"Merlot"
"US","California",90,50,"Cabernet Sauvignon"
"US","California",90,80,"Red Blend"
"US","California",90,28,"Tempranillo"
"Chile","Peumo",90,24,"Red Blend"
"US","California",90,40,"Zinfandel"
"US","California",90,22,"Syrah"
"Germany","Mosel",90,30,"Riesling"
"US","California",90,55,"Cabernet Sauvignon"
"US","California",90,42,"Merlot"
"US","California",90,60,"Cabernet Sauvignon"
"US","New York",90,27,"Pinot Noir"
"France","Burgundy",90,45,"Chardonnay"
"US","California",90,48,"Pinot Noir"
"France","Burgundy",90,80,"Pinot Noir"
"France","Loire Valley",90,19,"Sauvignon Blanc"
"US","California",90,45,"Pinot Noir"
"Italy","Tuscany",90,56,"Sangiovese"
"France","Rhône Valley",90,24,"Rosé"
"Italy","Tuscany",90,25,"Red Blend"
"US","California",90,15,"Tempranillo"
"Italy","Tuscany",90,22,"Sangiovese"
"Italy","Tuscany",90,20,"Red Blend"
"Spain","Northern Spain",90,30,"Tempranillo"
"Italy","Tuscany",90,30,"Red Blend"
"Italy","Tuscany",90,18,"Red Blend"
"Italy","Tuscany",90,22,"Sangiovese"
"Italy","Tuscany",90,28,"Red Blend"
"US","California",90,40,"Cabernet Sauvignon"
"US","California",92,44,"Chardonnay"
"US","California",92,32,"Chardonnay"
"Chile","Colchagua Valley",92,30,"Bordeaux-style Red Blend"
"France","Alsace",92,30,"Riesling"
"US","California",92,50,"Zinfandel"
"US","California",92,27,"Chardonnay"
"France","Alsace",92,24,"Riesling"
"US","Washington",92,15,"Riesling"
"US","California",92,35,"Syrah"
"US","California",92,33,"Cabernet Sauvignon"
"US","Washington",92,140,"Merlot"
"US","Washington",92,75,"Cabernet Sauvignon"
"Chile","Colchagua Valley",92,100,"Red Blend"
"US","Washington",92,21,"Riesling"
"US","California",92,80,"Red Blend"
"US","Washington",92,28,"Cabernet Sauvignon"
"US","California",92,40,"Chardonnay"
"Italy","Italy Other",92,40,"White Blend"
"Italy","Piedmont",92,500,"Red Blend"
"Argentina","Mendoza Province",93,40,"Malbec"
"US","California",93,40,"Syrah"
"US","California",93,65,"Chardonnay"
"US","California",93,28,"Syrah"
"US","California",93,51,"Chardonnay"
"France","Provence",93,50,"Rosé"
"France","Provence",93,34,"Rosé"
"France","Southwest France",93,50,"Malbec"
"France","Provence",93,30,"Rosé"
"France","Provence",93,40,"Rosé"
"US","California",93,30,"Cabernet Sauvignon"
"US","California",93,45,"Sauvignon Blanc"
"US","California",93,32,"Red Blend"
"US","Oregon",93,125,"Chardonnay"
"US","California",93,150,"Cabernet Sauvignon"
"US","California",93,60,"Syrah"
"US","Oregon",93,70,"Pinot Noir"
"US","Oregon",93,60,"Pinot Noir"
"US","California",93,32,"Syrah"
"Spain","Northern Spain",93,61,"Tempranillo"
"US","California",93,60,"Pinot Noir"
"US","California",93,45,"Chardonnay"
"US","Oregon",93,60,"Pinot Noir"
"US","California",93,80,"Pinot Noir"
"US","California",93,85,"Pinot Noir"
"Italy","Tuscany",89,90,"Red Blend"
"US","California",89,39,"Red Blend"
"Chile","Leyda Valley",89,17,"Sauvignon Blanc"
"France","Southwest France",89,20,"White Blend"
"Chile","Leyda Valley",89,22,"Sauvignon Blanc"
"US","California",89,25,"Chardonnay"
"Chile","Limarí Valley",89,26,"Red Blend"
"Italy","Lombardy",89,27,"Red Blend"
"Italy","Tuscany",89,22,"Red Blend"
"Chile","Colchagua Valley",89,20,"Cabernet Sauvignon"
"Italy","Tuscany",89,65,"Cabernet Sauvignon"
"Italy","Tuscany",89,52,"Red Blend"
"US","Oregon",89,25,"Rosé"
"US","California",89,65,"Cabernet Sauvignon"
"Italy","Tuscany",89,240,"Red Blend"
"Italy","Tuscany",89,35,"Red Blend"
"US","Oregon",89,40,"Pinot Noir"
"US","California",89,26,"Pinot Noir"
"Greece","Peloponnese",89,13,"White Blend"
"US","Oregon",90,28,"Tempranillo"
"US","California",90,40,"Red Blend"
"Israel","Galilee",90,20,"Cabernet Sauvignon"
"US","California",90,72,"Pinot Noir"
"Germany","Mosel",90,60,"Riesling"
"US","California",90,44,"Pinot Noir"
"Israel","Galilee",90,15,"Cabernet Sauvignon"
"US","California",90,36,"Chardonnay"
"Israel","Galilee",90,40,"Red Blend"
"US","California",90,70,"Chardonnay"
"US","Oregon",90,48,"Pinot Noir"
"Israel","Judean Hills",90,55,"Cabernet Sauvignon"
"US","California",90,125,"Cabernet Sauvignon"
"Spain","Northern Spain",90,24,"Tempranillo"
"Australia","Tasmania",90,65,"Pinot Noir"
"US","Oregon",90,37,"Pinot Noir"
"US","California",85,13,"Chardonnay"
"Israel","Galilee",85,30,"Chardonnay"
"France","Southwest France",85,15,"Sauvignon Blanc"
"France","Southwest France",85,9,"White Blend"
"Argentina","Mendoza Province",85,11,"Malbec"
"US","California",85,20,"Chardonnay"
"South Africa","Stellenbosch",85,22,"Chardonnay"
"Argentina","Mendoza Province",85,12,"Malbec"
"US","California",85,100,"Cabernet Sauvignon"
"South Africa","Simonsberg-Paarl",85,15,"Sauvignon Blanc"
"France","Southwest France",85,16,"Rosé"
"France","Southwest France",85,15,"Chardonnay"
"France","Burgundy",85,12,"White Blend"
"US","California",85,30,"Chardonnay"
